,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
1,87.7,5,+33.29,121.0,1,64.7,229,ACC,+.009,145,+2.50,94,96.4,1,107.9,19,1,+11.53,4,1,Duke,35-5
2,88.5,8,+31.85,120.4,2,67.2,105,B12,+.038,83,+1.13,125,98.7,32,108.2,16,2,+9.53,16,1,Kansas,33-3
3,90.9,14,+27.62,118.5,6,68.7,59,BE,-.008,191,-2.96,246,99.8,67,108.5,10,3,+8.62,36,1,Syracuse,30-5
4,88.3,6,+26.54,114.9,22,68.3,66,SEC,+.060,43,-1.28,194,99.5,57,106.5,50,4,+7.06,55,1,Kentucky,35-3
5,91.7,21,+25.54,117.2,12,62.6,296,BE,+.057,45,+5.45,50,97.5,7,110.0,1,5,+12.58,1,2,West Virginia,31-7
6,90.6,12,+25.52,116.1,15,69.4,36,B12,-.008,192,+2.37,96,97.5,10,109.5,2,6,+11.99,2,2,Kansas St.,29-8
7,92.5,26,+24.99,117.5,8,64.6,232,B10,+.007,152,-2.92,243,98.4,26,106.3,60,7,+7.88,49,2,Ohio St.,29-8
8,94.3,43,+24.95,119.2,5,64.5,235,B12,-.021,234,-2.79,237,97.7,14,108.3,13,8,+10.59,8,3,Baylor,28-8
9,91.6,19,+23.56,115.2,20,59.2,339,B10,-.013,202,+1.01,128,99.2,49,107.9,18,9,+8.69,33,4,Wisconsin,24-9
10,94.0,37,+23.27,117.3,10,71.1,15,MWC,+.012,130,-0.03,148,101.0,99,104.9,96,10,+3.88,98,7,BYU,30-6
11,94.2,42,+22.64,116.8,13,65.8,182,BE,-.035,266,+3.35,79,97.4,6,109.0,4,11,+11.55,3,3,Georgetown,23-11
12,88.5,7,+22.45,111.0,49,63.0,286,Horz,+.032,91,+11.11,4,99.9,68,106.7,45,12,+6.85,60,5,Butler,33-5
